código,nombre
78D6F0,SAMSUNG ELECTRO MECHANICS CO.
BC20A4,Samsung Electronics Co.
08D42B,Samsung Electronics Co.
789ED0,Samsung Electronics Co.
B0C4E7,Samsung Electronics Co.
A00798,Samsung Electronics Co.
001FCD,Samsung Electronics Co.
38ECE4,Samsung Electronics Co.
945103,Samsung Electronics Co.
002490,Samsung Electronics Co.
0023D7,Samsung Electronics Co.
549B12,Samsung Electronics Co.
FCA13E,Samsung Electronics Co.
24C696,Samsung Electronics Co.
94D771,Samsung Electronics Co.
E84E84,Samsung Electronics Co.
001632,Samsung Electronics Co.
E4E0C5,Samsung Electronics Co.
C81479,Samsung Electronics Co.
1CAF05,Samsung Electronics Co.
0016DB,Samsung Electronics Co.
001EE2,Samsung Electronics Co.
20D5BF,Samsung Electronics Co.
5CE8EB,Samsung Electronics Co.
C0BDD1,SAMSUNG ELECTRO-MECHANICS(THAILAND)
B479A7,SAMSUNG ELECTRO-MECHANICS(THAILAND)
7C11CB,HUAWEI TECHNOLOGIES CO.
B0DF3A,Samsung Electronics Co.
805719,Samsung Electronics Co.
34BE00,Samsung Electronics Co.
78521A,Samsung Electronics Co.
049FCA,HUAWEI TECHNOLOGIES CO.
50016B,HUAWEI TECHNOLOGIES CO.
205EF7,Samsung Electronics Co.
141F78,Samsung Electronics Co.
74B57E,zte corporation
B47443,Samsung Electronics Co.
18686A,zte corporation
30766F,LG Electronics (Mobile Communications)
A8922C,LG Electronics (Mobile Communications)
F80CF3,LG Electronics (Mobile Communications)
C49A02,LG Electronics (Mobile Communications)
001F6B,LG Electronics (Mobile Communications)
0026E2,LG Electronics (Mobile Communications)
A47174,HUAWEI TECHNOLOGIES CO.
F4CB52,HUAWEI TECHNOLOGIES CO.
B808D7,HUAWEI TECHNOLOGIES CO.
3C0771,Sony Corporation
3CB6B7,vivo Mobile Communication Co.
34A2A2,HUAWEI TECHNOLOGIES CO.
749D8F,HUAWEI TECHNOLOGIES CO.
C864C7,zte corporation
F823B2,HUAWEI TECHNOLOGIES CO.
E0A3AC,HUAWEI TECHNOLOGIES CO.
BC7574,HUAWEI TECHNOLOGIES CO.
20A680,HUAWEI TECHNOLOGIES CO.
8828B3,HUAWEI TECHNOLOGIES CO.
5C70A3,LG Electronics (Mobile Communications)
749781,zte corporation
BC60A7,Sony Interactive Entertainment Inc.
DCEE06,HUAWEI TECHNOLOGIES CO.
64CC2E,Xiaomi Communications Co Ltd
14D11F,HUAWEI TECHNOLOGIES CO.
DC094C,HUAWEI TECHNOLOGIES CO.
1C6758,HUAWEI TECHNOLOGIES CO.
24BCF8,HUAWEI TECHNOLOGIES CO.
F877B8,Samsung Electronics Co.
A8E3EE,Sony Interactive Entertainment Inc.
00248D,Sony Interactive Entertainment Inc.
00041F,Sony Interactive Entertainment Inc.
980CA5,Motorola (Wuhan) Mobility Technologies Communication Co.
182195,Samsung Electronics Co.
44783E,Samsung Electronics Co.
14BB6E,Samsung Electronics Co.
28CC01,Samsung Electronics Co.
744AA4,zte corporation
6CF373,Samsung Electronics Co.
9C3AAF,Samsung Electronics Co.
781FDB,Samsung Electronics Co.
4CA56D,Samsung Electronics Co.
B86CE8,Samsung Electronics Co.
0CB319,Samsung Electronics Co.
183F47,Samsung Electronics Co.
B46293,Samsung Electronics Co.
50A4C8,Samsung Electronics Co.
1867B0,Samsung Electronics Co.
6C8336,Samsung Electronics Co.
001E45,Sony Mobile Communications Inc
001CA4,Sony Mobile Communications Inc
001A75,Sony Mobile Communications Inc
78843C,Sony Corporation
0013A9,Sony Corporation
000AD9,Sony Mobile Communications Inc
000E07,Sony Mobile Communications Inc
94CE2C,Sony Mobile Communications Inc
FC0FE6,Sony Interactive Entertainment Inc.
0023F1,Sony Mobile Communications Inc
E0757D,Motorola Mobility LLC
34BB26,Motorola Mobility LLC
806C1B,Motorola Mobility LLC
3CA348,vivo Mobile Communication Co.
E45AA2,vivo Mobile Communication Co.
2082C0,Xiaomi Communications Co Ltd
DC6DCD,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
A4BA76,HUAWEI TECHNOLOGIES CO.
48DB50,HUAWEI TECHNOLOGIES CO.
F8DB7F,HTC Corporation
64A769,HTC Corporation
E899C4,HTC Corporation
BCCFCC,HTC Corporation
601888,zte corporation
BC3AEA,GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.
002512,zte corporation
344B50,zte corporation
FCC897,zte corporation
001882,HUAWEI TECHNOLOGIES CO.
20F3A3,HUAWEI TECHNOLOGIES CO.
0C37DC,HUAWEI TECHNOLOGIES CO.
BC7670,HUAWEI TECHNOLOGIES CO.
24DBAC,HUAWEI TECHNOLOGIES CO.
1C1D67,HUAWEI TECHNOLOGIES CO.
2469A5,HUAWEI TECHNOLOGIES CO.
EC233D,HUAWEI TECHNOLOGIES CO.
78F5FD,HUAWEI TECHNOLOGIES CO.
5C7D5E,HUAWEI TECHNOLOGIES CO.
90671C,HUAWEI TECHNOLOGIES CO.
BC25E0,HUAWEI TECHNOLOGIES CO.
D02DB3,HUAWEI TECHNOLOGIES CO.
E8CD2D,HUAWEI TECHNOLOGIES CO.
84A8E4,HUAWEI TECHNOLOGIES CO.
0C96BF,HUAWEI TECHNOLOGIES CO.
60E701,HUAWEI TECHNOLOGIES CO.
E8088B,HUAWEI TECHNOLOGIES CO.
643E8C,HUAWEI TECHNOLOGIES CO.
7C6097,HUAWEI TECHNOLOGIES CO.
CC53B5,HUAWEI TECHNOLOGIES CO.
60DE44,HUAWEI TECHNOLOGIES CO.
105172,HUAWEI TECHNOLOGIES CO.
08E84F,HUAWEI TECHNOLOGIES CO.
